Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
CP1254.gz,"2019-01-12 06:18:17 EST","2025-06-21 15:46:37 EDT","2025-06-21 15:47:01 EDT","2025-06-21 15:46:37 EDT",20,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/CP1254.gz",,,application/octet-stream,gz
CP1257.gz,"2025-06-21 15:46:37 EDT","2025-06-21 15:46:37 EDT","2025-08-01 03:42:38 EDT","2025-06-21 15:46:37 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/CP1257.gz",,,,
CP770.gz,"2020-03-22 11:48:29 EDT","2025-06-21 15:46:37 EDT","2025-06-21 15:47:01 EDT","2025-06-21 15:46:37 EDT",22,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/CP770.gz",,,application/octet-stream,gz
CP771.gz,"2020-03-22 11:48:29 EDT","2025-06-21 15:46:37 EDT","2025-06-21 15:47:01 EDT","2025-06-21 15:46:37 EDT",18,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/CP771.gz",,,application/octet-stream,gz
CP772.gz,"2025-06-21 15:46:37 EDT","2025-06-21 15:46:37 EDT","2025-08-01 03:42:41 EDT","2025-06-21 15:46:37 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/CP772.gz",,,,
CP773.gz,"2025-06-21 15:46:38 EDT","2025-06-21 15:46:38 EDT","2025-08-01 03:42:41 EDT","2025-06-21 15:46:37 EDT",12288,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/CP773.gz",,,,
ISO-8859-16.gz,"2025-06-21 15:46:38 EDT","2025-06-21 15:46:38 EDT","2025-08-01 03:42:38 EDT","2025-06-21 15:46:37 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/ISO-8859-16.gz",,,,
ISO-8859-4.gz,"2025-06-21 15:46:38 EDT","2025-06-21 15:46:38 EDT","2025-08-01 03:42:37 EDT","2025-06-21 15:46:37 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/ISO-8859-4.gz",,,,
ISO-8859-9.gz,"2025-06-21 15:46:39 EDT","2025-06-21 15:46:39 EDT","2025-08-01 03:42:36 EDT","2025-06-21 15:46:38 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/ISO-8859-9.gz",,,,
ISO-8859-9E.gz,"2025-06-21 15:46:38 EDT","2025-06-21 15:46:38 EDT","2025-08-01 03:42:36 EDT","2025-06-21 15:46:38 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/ISO-8859-9E.gz",,,,
ISO-IR-209.gz,"2025-06-21 15:46:38 EDT","2025-06-21 15:46:38 EDT","2025-08-01 03:42:36 EDT","2025-06-21 15:46:38 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/ISO-IR-209.gz",,,,
ISO_10367-BOX.gz,"2025-06-21 15:46:38 EDT","2025-06-21 15:46:38 EDT","2025-08-01 03:42:36 EDT","2025-06-21 15:46:38 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/ISO_10367-BOX.gz",,,,
JIS_C6229-1984-B.gz,"2025-06-21 15:46:38 EDT","2025-06-21 15:46:38 EDT","2025-08-01 03:42:36 EDT","2025-06-21 15:46:38 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/JIS_C6229-1984-B.gz",,,,
JIS_X0201.gz,"2025-06-21 15:46:39 EDT","2025-06-21 15:46:39 EDT","2025-08-01 03:42:36 EDT","2025-06-21 15:46:38 EDT",12288,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/JIS_X0201.gz",,,,
sleep.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/sleep.1.gz",,,application/octet-stream,gz
ssh.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/ssh.1.gz",,,application/octet-stream,gz
su.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/su.1.gz",,,application/octet-stream,gz
"systemd-ask-password.1.gz","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/systemd-ask-password.1.gz",,,application/octet-stream,gz
"systemd-machine-id-setup.1.gz","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/systemd-machine-id-setup.1.gz",,,application/octet-stream,gz
usb_modeswitch.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/usb_modeswitch.1.gz",,,application/octet-stream,gz
whoami.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/whoami.1.gz",,,application/octet-stream,gz
