"List Name","Files with Hits"
"0.3.4.8 (11)",11
"0.3.5.3 (12)",12
"0.3.5.5 (11)",11
"0.3.5.6 (11)",11
"0.3.6.1 (11)",11
"0.3.6.2 (15)",15
"0.3.6.3 (11)",11
"0.3.6.6 (11)",11
"0.3.7.1 (11)",11
"0.3.7.2 (11)",11
"0.3.8.1 (15)",15
"0.30.0.1 (11)",11
"0.31.149.113 (3)",3
"0.4.0.0 (11)",11
"0.4.0.1 (16)",16
"0.4.0.15 (12)",12
"0.4.0.2 (11)",11
"0.4.0.3 (11)",11
"0.4.0.4 (11)",11
"0.4.0.5 (11)",11
"0.4.0.7 (11)",11
"0.4.1.0 (11)",11
"0.4.1.1 (16)",16
"0.4.1.2 (11)",11
"0.4.1.3 (11)",11
"0.4.1.4 (12)",12
"0.4.1.6 (3)",3
"0.4.1.8 (11)",11
"0.4.2.0 (11)",11
"0.4.2.1 (16)",16
"0.4.2.2 (11)",11
"0.4.2.3 (11)",11
"0.4.2.7 (26)",26
"0.4.20.1 (14)",14
"0.4.26.0 (3)",3
"0.4.3.2 (11)",11
"0.4.4.0 (13)",13
"0.4.4.2 (15)",15
"0.4.4.3 (11)",11
"0.4.5.2 (12)",12
"0.4.6.1 (11)",11
"0.4.7.0 (12)",12
"0.4.7.2 (11)",11
"0.4.9.1 (11)",11
"0.48.3.1 (5)",5
"0.5.0.0 (11)",11
"0.5.0.1 (12)",12
"0.5.0.2 (12)",12
"0.5.0.5 (11)",11
"0.5.1.0 (11)",11
"0.5.1.1 (12)",12
"0.5.1.2 (14)",14
"0.5.1.5 (11)",11
"0.5.1.6 (11)",11
"0.5.10.2 (36)",36
"0.5.11.2 (15)",15
"0.5.2.0 (12)",12
"0.5.2.1 (11)",11
"0.5.2.4 (15)",15
"0.5.3.0 (12)",12
"0.5.3.1 (11)",11
"0.5.4.14 (15)",15
"0.5.5.1 (1)",1
"0.5.5.3 (11)",11
"0.5.6.2 (11)",11
"0.5.6.3 (12)",12
"0.5.8.1 (11)",11
"0.5.99.0 (11)",11
"0.6.0.0 (11)",11
"0.6.0.1 (12)",12
"0.6.0.13 (11)",11
"0.6.0.2 (3)",3
"0.6.0.3 (12)",12
"0.6.0.4 (11)",11
"0.6.1.0 (11)",11
"0.6.1.1 (15)",15
"0.6.1.10 (11)",11
"0.6.1.2 (17)",17
"0.6.1.3 (11)",11
"0.6.1.4 (11)",11
"0.6.1.5 (15)",15
"0.6.2.0 (11)",11
"0.6.2.2 (11)",11
"0.6.2.3 (11)",11
"0.6.3.0 (11)",11
"0.6.3.1 (12)",12
"0.6.3.3 (14)",14
"0.6.3.4 (11)",11
"0.6.4.0 (11)",11
"0.6.46.1 (11)",11
"0.6.5.3 (11)",11
"0.6.6.1 (15)",15
"0.6.7.0 (11)",11
"0.6.8.2 (11)",11
"0.60.70.80 (1)",1
"0.63.2.2 (1)",1
"0.7.0.0 (12)",12
"0.7.0.1 (11)",11
"0.7.0.2 (11)",11
"0.7.0.4 (12)",12
"0.7.1.1 (12)",12
"0.7.1.3 (11)",11
"0.7.100.3 (2)",2
"0.7.11.1 (11)",11
"0.7.12.0 (24)",24
"0.7.2.0 (11)",11
"0.7.2.1 (12)",12
"0.7.2.2 (11)",11
"0.7.3.1 (15)",15
"0.7.3.2 (11)",11
"0.7.3.8 (15)",15
"0.7.4.0 (4)",4
"0.7.4.3 (11)",11
"0.7.40.21 (3)",3
"0.7.5.10 (15)",15
"0.7.5.3 (3)",3
"0.7.7.0 (11)",11
"0.7.93.2 (10)",10
"0.7.94.2 (3)",3
"0.8.0.0 (11)",11
"0.8.0.1 (14)",14
"0.8.0.2 (1)",1
"0.8.0.6 (14)",14
"0.8.1.9 (3)",3
"0.8.10.2 (11)",11
"0.8.11.4 (1)",1
"0.8.13.0 (11)",11
"0.8.15.3 (3)",3
"0.8.15.4 (1)",1
"0.8.15.6 (1)",1
"0.8.15.7 (1)",1
"0.8.18.1 (3)",3
"0.8.2.0 (12)",12
"0.8.2.1 (3)",3
"0.8.2.2 (11)",11
"0.8.3.0 (16)",16
"0.8.3.1 (15)",15
"0.8.4.0 (16)",16
"0.8.4.1 (1)",1
"0.8.4.10 (1)",1
"0.8.4.12 (1)",1
"0.8.4.13 (1)",1
"0.8.4.16 (1)",1
"0.8.4.2 (1)",1
"0.8.4.3 (1)",1
"0.8.4.4 (1)",1
"0.8.4.5 (1)",1
"0.8.4.6 (1)",1
"0.8.4.7 (1)",1
"0.8.4.8 (1)",1
"0.8.4.9 (1)",1
"0.8.6.0 (11)",11
"0.8.6.1 (16)",16
"0.8.6.3 (16)",16
"0.8.7.5 (3)",3
"0.8.8.5 (26)",26
"0.8.8.6 (15)",15
"0.8.8.8 (15)",15
"0.8.9.0 (11)",11
"0.8.9.1 (15)",15
"0.8.9.2 (3)",3
"0.85.0.0 (11)",11
"0.9.0.0 (11)",11
"0.9.0.1 (11)",11
"0.9.0.2 (10)",10
"0.9.0.3 (14)",14
"0.9.0.9 (11)",11
"0.9.1.1 (11)",11
"0.9.1.2 (16)",16
"0.9.11.3 (1)",1
"0.9.12.1 (14)",14
"0.9.13.1 (1)",1
"0.9.14.2 (2)",2
"0.9.15.4 (1)",1
"0.9.16.1 (14)",14
"0.9.18.1 (14)",14
"0.9.2.1 (14)",14
"0.9.3.1 (12)",12
"0.9.4.0 (11)",11
"0.9.4.1 (11)",11
"0.9.4.2 (11)",11
"0.9.4.3 (11)",11
"0.9.4.4 (16)",16
"0.9.5.18 (10)",10
"0.9.5.2 (15)",15
"0.9.5.5 (11)",11
"0.9.6.1 (13)",13
"0.9.6.11 (15)",15
"0.9.6.2 (3)",3
"0.9.7.1 (22)",22
"0.9.7.3 (13)",13
"0.9.7.5 (1)",1
"0.9.7.7 (16)",16
"0.9.8.0 (4)",4
"0.9.8.1 (19)",19
"0.9.8.2 (13)",13
"0.9.8.4 (18)",18
"0.9.8.5 (15)",15
"0.9.8.8 (16)",16
"0.9.9.1 (2)",2
"0.9.9.2 (11)",11
"0.9.9.3 (3)",3
"0.9.9.5 (1)",1
"0.9.9.7 (3)",3
"0.9.9.8 (11)",11
"0.9.9.9 (26)",26
"0.90.7.1 (15)",15
"0.90.8.2 (11)",11
"0.95.1.4 (11)",11
"0.96.9.1 (15)",15
"0.98.9.1 (1)",1
"0.98.9.2 (17)",17
"0.98.9.3 (1)",1
"0.98.9.4 (1)",1
"0.98.9.5 (1)",1
"0.99.1.0 (11)",11
"0.99.1.4 (14)",14
"0.99.10.0 (1)",1
"0.99.4.2 (10)",10
"0.99.7.1 (56)",56
"0.99.9.0 (1)",1
"0.99.9.10 (1)",1
"0.99.9.11 (26)",26
"0.99.9.12 (20)",20
"0.99.9.6 (1)",1
"0.99.9.7 (1)",1
"0.99.9.8 (1)",1
"1.0.0.0 (26)",26
"1.0.0.1 (14)",14
"1.0.0.12 (3)",3
"1.0.0.127 (7)",7
"1.0.0.14 (3)",3
"1.0.0.191 (1)",1
"1.0.0.2 (25)",25
"1.0.0.22 (3)",3
"1.0.0.3 (11)",11
"1.0.0.5 (11)",11
"1.0.0.61 (11)",11
"1.0.0.7 (13)",13
"1.0.0.78 (3)",3
"1.0.0.8 (11)",11
"1.0.0.83 (3)",3
"1.0.0.9 (6)",6
"1.0.1.0 (16)",16
"1.0.1.1 (16)",16
"1.0.1.2 (11)",11
"1.0.1.4 (13)",13
"1.0.1.5 (3)",3
"1.0.11.0 (12)",12
"1.0.12.0 (6)",6
"1.0.15.6 (11)",11
"1.0.2.0 (16)",16
"1.0.2.1 (11)",11
"1.0.2.17 (15)",15
"1.0.2.2 (16)",16
"1.0.2.3 (18)",18
"1.0.2.90 (11)",11
"1.0.23.1 (11)",11
"1.0.24.0 (3)",3
"1.0.24.1 (12)",12
"1.0.24.2 (22)",22
"1.0.29.1 (1)",1
"1.0.3.0 (15)",15
"1.0.3.1 (14)",14
"1.0.3.113 (3)",3
"1.0.4.0 (12)",12
"1.0.4.1 (11)",11
"1.0.4.2 (3)",3
"1.0.41.9 (1)",1
"1.0.5.1 (24)",24
"1.0.5.2 (3)",3
"1.0.5.3 (11)",11
"1.0.7.0 (2)",2
"1.0.8.1 (14)",14
"1.0.8.11 (11)",11
"1.0.8.7 (10)",10
"1.0.9.2 (11)",11
"1.0.9.4 (13)",13
"1.1.0.0 (13)",13
"1.1.0.1 (12)",12
"1.1.0.2 (12)",12
"1.1.0.3 (16)",16
"1.1.0.4 (11)",11
"1.1.1.0 (14)",14
"1.1.1.1 (40)",40
"1.1.1.10 (1)",1
"1.1.1.131 (1)",1
"1.1.1.2 (22)",22
"1.1.1.254 (3)",3
"1.1.1.3 (5)",5
"1.1.1.4 (7)",7
"1.1.1.5 (4)",4
"1.1.1.6 (4)",4
"1.1.1.7 (3)",3
"1.1.1.8 (1)",1
"1.1.1.9 (2)",2
"1.1.11.2 (2)",2
"1.1.111.2 (3)",3
"1.1.112.16 (11)",11
"1.1.12.0 (5)",5
"1.1.121.2 (5)",5
"1.1.13.0 (5)",5
"1.1.131.2 (2)",2
"1.1.131.3 (5)",5
"1.1.2.0 (16)",16
"1.1.2.1 (22)",22
"1.1.2.10 (1)",1
"1.1.2.11 (2)",2
"1.1.2.12 (3)",3
"1.1.2.19 (1)",1
"1.1.2.2 (23)",23
"1.1.2.22 (2)",2
"1.1.2.24 (2)",2
"1.1.2.28 (2)",2
"1.1.2.3 (18)",18
"1.1.2.35 (2)",2
"1.1.2.4 (12)",12
"1.1.2.44 (2)",2
"1.1.2.45 (3)",3
"1.1.2.5 (8)",8
"1.1.2.53 (2)",2
"1.1.2.6 (3)",3
"1.1.2.7 (3)",3
"1.1.2.8 (3)",3
"1.1.2.9 (2)",2
"1.1.21.0 (5)",5
"1.1.22.0 (3)",3
"1.1.3.1 (6)",6
"1.1.3.2 (4)",4
"1.1.3.3 (3)",3
"1.1.3.4 (3)",3
"1.1.3.6 (11)",11
"1.1.4.0 (14)",14
"1.1.4.1 (3)",3
"1.1.4.2 (3)",3
"1.1.4.3 (6)",6
"1.1.4.4 (4)",4
"1.1.41.2 (16)",16
"1.1.5.1 (14)",14
"1.1.5.2 (3)",3
"1.1.5.3 (3)",3
"1.1.5.4 (3)",3
"1.1.51.2 (19)",19
"1.1.51.3 (5)",5
"1.1.6.1 (3)",3
"1.1.6.2 (12)",12
"1.1.6.3 (8)",8
"1.1.6.4 (4)",4
"1.1.7.1 (3)",3
"1.1.7.2 (13)",13
"1.1.7.3 (13)",13
"1.1.7.4 (1)",1
"1.1.7.5 (1)",1
"1.1.8.1 (3)",3
"1.1.8.2 (16)",16
"1.1.8.3 (5)",5
"1.1.8.4 (1)",1
"1.1.82.0 (11)",11
"1.1.9.0 (5)",5
"1.1.9.2 (10)",10
"1.1.90.0 (11)",11
"1.10.1.0 (10)",10
"1.10.1.1 (10)",10
"1.10.1.2 (10)",10
"1.10.14.1 (2)",2
"1.10.2.0 (10)",10
"1.10.2.1 (15)",15
"1.10.2.27 (7)",7
"1.10.3.11 (7)",7
"1.101.3.4 (53)",53
"1.11.0.0 (10)",10
"1.11.0.1 (10)",10
"1.11.1.0 (10)",10
"1.111.3.36 (7)",7
"1.114.8.2 (2)",2
"1.12.0.0 (10)",10
"1.12.0.1 (10)",10
"1.12.0.2 (10)",10
"1.12.1.0 (10)",10
"1.12.1.3 (11)",11
"1.12.1.51 (2)",2
"1.12.1.6 (11)",11
"1.12.10.1 (4)",4
"1.12.4.1 (11)",11
"1.13.0.0 (10)",10
"1.13.0.1 (13)",13
"1.13.1.0 (10)",10
"1.13.1.1 (11)",11
"1.13.2.0 (10)",10
"1.13.3.0 (10)",10
"1.13.99.1 (10)",10
"1.14.0.0 (5)",5
"1.14.0.2 (11)",11
"1.14.4.0 (6)",6
"1.14.4.1 (11)",11
"1.15.0.0 (5)",5
"1.15.37.0 (7)",7
"1.15.4.0 (3)",3
"1.15.7.2 (46)",46
"1.15.8.1 (2)",2
"1.15.8.6 (4)",4
"1.17.5.4 (11)",11
"1.18.1.1 (22)",22
"1.19.2.4 (1)",1
"1.2.0.0 (16)",16
"1.2.0.1 (11)",11
"1.2.0.11 (11)",11
"1.2.0.2 (41)",41
"1.2.0.3 (5)",5
"1.2.0.8 (15)",15
"1.2.1.0 (11)",11
"1.2.1.1 (20)",20
"1.2.1.2 (14)",14
"1.2.1.3 (16)",16
"1.2.11.8 (11)",11
"1.2.131.2 (32)",32
"1.2.2.0 (12)",12
"1.2.2.1 (12)",12
"1.2.2.3 (34)",34
"1.2.2.4 (23)",23
"1.2.2.9 (11)",11
"1.2.23.1 (11)",11
"1.2.24.1 (11)",11
"1.2.25.0 (5)",5
"1.2.25.2 (11)",11
"1.2.28.0 (1)",1
"1.2.3.0 (2)",2
"1.2.3.1 (12)",12
"1.2.3.2 (12)",12
"1.2.3.254 (1)",1
"1.2.3.255 (6)",6
"1.2.3.3 (48)",48
"1.2.3.4 (140)",140
"1.2.3.5 (22)",22
"1.2.3.6 (3)",3
"1.2.3.99 (1)",1
"1.2.4.0 (5)",5
"1.2.4.1 (15)",15
"1.2.4.2 (11)",11
"1.2.4.4 (1)",1
"1.2.4.5 (2)",2
"1.2.6.0 (11)",11
"1.2.6.2 (2)",2
"1.2.6.3 (11)",11
"1.2.7.0 (11)",11
"1.2.7.2 (3)",3
"1.2.9.2 (15)",15
"1.2.99.2 (17)",17
"1.2.99.3 (23)",23
