Source,Type,Path,"Created Date"
"/img_imagen_victima.img/vol_vol5/etc/apparmor.d/abstractions/apparmor_api/change_profile.dpkg-new",File,"/img_imagen_victima.img/vol_vol5/etc/apparmor.d/abstractions/apparmor_api/change_profile.dpkg-new","2025-06-21 15:46:49 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apparmor.d/abstractions/ubuntu-unity7-base.dpkg-new",File,"/img_imagen_victima.img/vol_vol5/etc/apparmor.d/abstractions/ubuntu-unity7-base.dpkg-new","2025-06-21 15:46:50 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apparmor.d/tunables/home.dpkg-new",File,"/img_imagen_victima.img/vol_vol5/etc/apparmor.d/tunables/home.dpkg-new","2025-06-21 15:46:50 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apparmor.d/sbin.dhclient",File,"/img_imagen_victima.img/vol_vol5/etc/apparmor.d/sbin.dhclient","2025-06-21 14:34:46 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apparmor.d/usr.lib.snapd.snap-confine.real",File,"/img_imagen_victima.img/vol_vol5/etc/apparmor.d/usr.lib.snapd.snap-confine.real","2025-06-21 14:47:18 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apport/blacklist.d/apport.dpkg-new",File,"/img_imagen_victima.img/vol_vol5/etc/apport/blacklist.d/apport.dpkg-new","2025-08-01 13:53:00 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apport/.crashdb.conf.FFQRDB",File,"/img_imagen_victima.img/vol_vol5/etc/apport/.crashdb.conf.FFQRDB","2025-06-21 14:34:46 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apport/crashdb.conf",File,"/img_imagen_victima.img/vol_vol5/etc/apport/crashdb.conf","2025-06-21 14:34:46 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apt/sources.list.curtin.old",File,"/img_imagen_victima.img/vol_vol5/etc/apt/sources.list.curtin.old","2025-06-21 14:57:01 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apt/sources.list",File,"/img_imagen_victima.img/vol_vol5/etc/apt/sources.list","2025-06-21 14:57:01 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apt/apt.conf.d/50unattended-upgrades",File,"/img_imagen_victima.img/vol_vol5/etc/apt/apt.conf.d/50unattended-upgrades","2025-06-21 14:57:01 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apt/sources.list.d/wazuh.list",File,"/img_imagen_victima.img/vol_vol5/etc/apt/sources.list.d/wazuh.list","2025-06-23 09:27:03 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apt/trusted.gpg.d/ubuntu-keyring-2012-archive.gpg",File,"/img_imagen_victima.img/vol_vol5/etc/apt/trusted.gpg.d/ubuntu-keyring-2012-archive.gpg","2025-06-21 14:57:01 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apt/trusted.gpg.d/ubuntu-keyring-2012-cdimage.gpg",File,"/img_imagen_victima.img/vol_vol5/etc/apt/trusted.gpg.d/ubuntu-keyring-2012-cdimage.gpg","2025-06-21 14:57:01 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apt/trusted.gpg.d/ubuntu-keyring-2018-archive.gpg",File,"/img_imagen_victima.img/vol_vol5/etc/apt/trusted.gpg.d/ubuntu-keyring-2018-archive.gpg","2025-06-21 14:57:01 EDT"
"/img_imagen_victima.img/vol_vol5/etc/apt/keyrings/wazuh.gpg",File,"/img_imagen_victima.img/vol_vol5/etc/apt/keyrings/wazuh.gpg","2025-06-23 09:26:20 EDT"
"/img_imagen_victima.img/vol_vol5/etc/cloud/templates/chrony.conf.opensuse.tmpl",File,"/img_imagen_victima.img/vol_vol5/etc/cloud/templates/chrony.conf.opensuse.tmpl","2025-06-21 14:34:46 EDT"
"/img_imagen_victima.img/vol_vol5/etc/cloud/templates/chrony.conf.centos.tmpl",File,"/img_imagen_victima.img/vol_vol5/etc/cloud/templates/chrony.conf.centos.tmpl","2025-06-21 14:34:46 EDT"
"/img_imagen_victima.img/vol_vol5/etc/cloud/templates/chrony.conf.fedora.tmpl",File,"/img_imagen_victima.img/vol_vol5/etc/cloud/templates/chrony.conf.fedora.tmpl","2025-06-21 14:34:46 EDT"
